 ,Area,Mean,Min,Max,X,Y,Slice
520,0,41,41,41,3395.973,479.866,14
521,0,68,68,68,3382.550,503.356,14
522,0,66,66,66,3369.127,486.577,14
523,0,50,50,50,3325.503,466.443,14
524,0,57,57,57,3348.993,483.221,14
525,0,81,81,81,3335.570,506.711,14
526,0,49,49,49,3328.859,486.577,14
527,0,49,49,49,3308.725,479.866,14
528,0,87,87,87,3308.725,506.711,14
529,0,46,46,46,3288.591,506.711,14
530,0,38,38,38,3288.591,483.221,14
531,0,29,29,29,3261.745,476.510,14
532,0,43,43,43,3271.812,500,14
533,0,41,41,41,3255.034,516.779,14
534,0,94,94,94,3244.966,500,14
535,0,18,18,18,3234.899,520.134,14
536,0,36,36,36,3218.121,500,14
537,0,59,59,59,3224.832,486.577,14
538,0,37,37,37,3201.342,503.356,14
539,0,49,49,49,3197.987,479.866,14
540,0,32,32,32,3181.208,493.289,14
541,0,27,27,27,3167.785,466.443,14
542,0,92,92,92,3161.074,493.289,14
543,0,67,67,67,3164.430,510.067,14
544,0,46,46,46,3275.168,385.906,14
545,0,69,69,69,3107.382,382.550,14
546,0,50,50,50,3137.584,483.221,14
547,0,28,28,28,3127.517,607.383,14
548,0,17,17,17,2969.799,573.826,14
549,0,90,90,90,2912.751,375.839,14
550,0,69,69,69,2855.705,372.483,14
551,0,27,27,27,2785.235,372.483,14
552,0,8,8,8,2919.463,473.154,14
553,0,38,38,38,2909.396,513.423,14
554,0,80,80,80,2912.751,573.826,14
555,0,22,22,22,2889.262,530.201,14
556,0,26,26,26,2885.906,489.933,14
557,0,88,88,88,2859.061,520.134,14
558,0,36,36,36,2838.926,496.644,14
559,0,1,1,1,2842.282,456.376,14
560,0,51,51,51,2869.127,573.826,14
561,0,54,54,54,2832.215,570.470,14
562,0,52,52,52,2805.369,580.537,14
563,0,5,5,5,2788.591,563.758,14
564,0,17,17,17,2768.457,546.980,14
565,0,24,24,24,2744.966,546.980,14
566,0,83,83,83,2765.101,573.826,14
567,0,41,41,41,2788.591,593.960,14
568,0,69,69,69,2768.457,489.933,14
569,0,53,53,53,2751.678,493.289,14
570,0,34,34,34,2765.101,456.376,14
